SapCode ,SPU Id ,ML Exclusion,Month,ML Forecast,Global Lag 0 PBU Consensus FC,Shipped Units
ABC,REZ29000ZA,N,1,0,0,0
ABC,REZ38000B1,N,1,0,0,0
ABC,REZ40000B1,N,1,0,0,0
ABC,REZ42000B1,N,1,1,0,4
ABC,REZ50000NL,N,1,420,549,1120
ABC,REZ61000CA,Y,1,0,0,0
ABC,REZ67000GB,Y,1,0,0,0
ABC,REZA1000ZA,Y,1,0,0,0
ABC,REZA2000ZA,Y,1,0,0,0
ABC,REZA3000ZA,Y,1,0,0,0
ABC,REZA4000ZA,Y,1,0,0,0
ABC,REZA5000ZA,Y,1,0,0,0
ABC,NA,N,2,0,0,0
ABC,RE000001DE,Y,2,7,2,0
ABC,RE000001PL,Y,2,2,1,0
ABC,RE000002FR,N,2,0,0,0
ABC,RE000003FR,N,2,1,0,0
ABC,RE000004FR,N,2,0,0,0
ABC,RE000999AE,Y,2,37,44,350
ABC,RE001030NL,Y,2,0,0,0
ABC,RE004260FR,N,2,361,629,216
ABC,RE009000SE,N,2,0,0,0
ABC,RE015130FR,Y,2,149,116,-87
ABC,RE023010BE,N,2,0,0,0
ABC,RE040010NL,N,2,0,0,0
ABC,RE099AAAAT,N,2,59,87,57
ABC,RE099AAAAU,Y,2,0,0,0
ABC,RE099AAABE,N,2,131,162,162
ABC,RE099AAABG,N,2,87,79,66
ABC,RE099AAACH,Y,2,47,40,45
ABC,RE099AAACZ,N,2,12,29,9
ABC,RE099AAADE,N,2,298,309,203
ABC,RE099AAADK,N,2,137,65,95
ABC,RE099AAAES,Y,2,561,580,660
ABC,RE099AAAFI,N,2,0,0,0
ABC,RE099AAAFR,N,2,1062,1243,761
ABC,RE099AAAGB,N,2,122,91,151
ABC,RE099AAAGR,N,2,22,20,49
ABC,RE099AAAHU,N,2,17,29,53
ABC,RE099AAAIE,Y,2,0,0,4
ABC,RE099AAAIL,Y,2,0,0,0
ABC,RE099AAAIT,N,2,979,1137,1406
ABC,RE099AAAJP,Y,2,0,72,72
ABC,RE099AAALU,N,2,51,42,35
ABC,RE099AAAMD,N,2,1,2,0
ABC,RE099AAANL,N,2,68,111,76
ABC,RE099AAANO,N,2,0,0,0
ABC,RE099AAANZ,Y,2,0,0,0
ABC,RE099AAAPL,N,2,208,110,84
ABC,RE099AAAPT,Y,2,8,6,17
ABC,RE099AAAQA,Y,2,0,0,0
ABC,RE099AAAR4,Y,2,0,0,0
ABC,RE099AAARO,N,2,123,84,191
ABC,RE099AAARS,N,2,13,22,10
ABC,RE099AAARU,Y,2,0,0,0
ABC,RE099AAASE,N,2,0,0,0
ABC,RE099AAASI,N,2,59,46,21
ABC,RE099AAASK,N,2,8,10,12
ABC,RE099AAATR,Y,2,12,87,116
ABC,RE099AAAUA,N,2,2,5,0
ABC,RE099AAAUS,Y,2,0,0,0
ABC,RE100AAAGB,N,2,0,0,0
ABC,RE115000DZ,Y,2,0,0,0
ABC,RE123456PL,N,2,182,256,231
ABC,RE138000TR,Y,2,0,0,0
ABC,RE226000CN,N,2,0,0,0
ABC,RE256000CY,N,2,0,0,0
ABC,RE277000AE,Y,2,0,0,0
ABC,RE286000EG,Y,2,0,0,0
ABC,RE328000GH,Y,2,0,0,0
ABC,RE391000IQ,Y,2,0,0,0
ABC,RE628000CN,Y,2,0,0,0
ABC,RE637000KR,Y,2,0,100,82
ABC,RE641000TW,Y,2,0,0,0
ABC,RE647000TH,Y,2,0,0,0
ABC,RE657000ID,Y,2,0,0,0
ABC,RE659000MX,Y,2,0,0,0
ABC,RE664000PH,Y,2,0,0,0
ABC,RE672000IN,Y,2,0,0,0
ABC,RE677000SG,Y,2,0,0,0
ABC,RE684000MY,Y,2,0,0,0
ABC,RE775000SI,N,2,76,105,145
ABC,RE999000TR,Y,2,0,0,0
ABC,RE999000ZA,N,2,0,0,0
ABC,RE999900AE,Y,2,0,0,0
ABC,REAHBMW0DE,N,2,30,29,1
ABC,REAHDAIMDE,Y,2,20,0,0
ABC,REAHOTHEDE,N,2,396,70,78
ABC,REAHTYSYDE,Y,2,0,0,0
ABC,REAHVW00DE,Y,2,264,570,305
ABC,REATU000DE,N,2,2318,1325,0
ABC,REATYSE0FR,N,2,1458,1204,1565
ABC,REAXLE00GB,Y,2,172,30,0
ABC,REBDC000AE,Y,2,0,0,0
ABC,REBOND00GB,Y,2,40,97,69
ABC,RECD0000NO,Y,2,0,0,0
ABC,REDELTICDE,Y,2,253,175,80
ABC,REDELTICFR,Y,2,243,75,51
ABC,REDIRECTZA,N,2,0,0,0
ABC,REDISTRIFR,N,2,99,110,132
ABC,REECOMFR1C,Y,2,2,2,0
ABC,REENIS00PL,Y,2,75,61,2
ABC,REEQUITYDE,N,2,813,1180,0
ABC,REETEL00GB,Y,2,103,96,168
ABC,REEXPORTRU,Y,2,0,0,0
ABC,REFINTYRIT,N,2,110,46,168
ABC,REFSD000DE,N,2,0,0,0
ABC,REGB2000GB,Y,2,87,110,47
ABC,REGDHSOTDE,N,2,1045,1047,1200
ABC,REGROUPPGB,N,2,39,23,87
ABC,REGRUPO0ES,N,2,0,0,0
ABC,REKEYAC0GB,N,2,0,0,0
ABC,REKRANJIIT,N,2,72,140,294
ABC,REMODISTCZ,N,2,0,0,0
ABC,REMORET0CZ,N,2,0,0,0
ABC,RENORAUTES,Y,2,58,24,83
ABC,REPUBLICGR,N,2,0,0,0
ABC,RESELLTHCZ,N,2,86,114,95
ABC,RESELLTHHU,N,2,21,44,28
ABC,RESELLTHSK,N,2,11,10,27
ABC,RESSA000ZA,N,2,0,0,0
ABC,RESSA001ZA,N,2,0,0,0
ABC,RESSA002ZA,N,2,0,0,0
ABC,RESSA003ZA,N,2,0,0,0
ABC,RESSA004ZA,N,2,0,0,0
ABC,RESSA005ZA,N,2,0,0,0
ABC,RESSA006ZA,N,2,0,0,0
ABC,RESSA007ZA,N,2,0,0,0
ABC,RESSA008ZA,N,2,0,0,0
ABC,RESSA009ZA,N,2,0,0,0
ABC,REWHOLESDE,N,2,2148,1712,2514
ABC,REWHOLESFR,N,2,0,0,0
ABC,REWHTYSYDE,Y,2,331,162,126
ABC,REZ29000ZA,N,2,0,0,0
ABC,REZ38000B1,N,2,0,0,0
ABC,REZ40000B1,N,2,0,3,11
ABC,REZ42000B1,N,2,1,2,0
ABC,REZ50000NL,N,2,635,623,440
ABC,REZ61000CA,Y,2,0,0,8
ABC,REZ67000GB,Y,2,0,0,0
ABC,REZA1000ZA,Y,2,0,0,0
ABC,REZA2000ZA,Y,2,0,0,0
ABC,REZA3000ZA,Y,2,0,0,0
ABC,REZA4000ZA,Y,2,0,0,0
ABC,REZA5000ZA,Y,2,0,0,0
ABC,RE000001DE,Y,3,7,5,0
ABC,RE000001PL,Y,3,1,1,0
ABC,RE000002FR,N,3,0,0,0
ABC,RE000003FR,N,3,1,0,0
ABC,RE000004FR,N,3,0,0,0
ABC,RE000999AE,Y,3,124,56,0
ABC,RE001030NL,Y,3,0,0,0
ABC,RE004260FR,N,3,376,709,730
ABC,RE009000SE,N,3,0,0,0
ABC,RE015130FR,Y,3,154,108,151
ABC,RE023010BE,N,3,0,0,0
ABC,RE040010NL,N,3,0,0,0
ABC,RE099AAAAT,N,3,25,23,-1
ABC,RE099AAAAU,Y,3,0,0,0
ABC,RE099AAABE,N,3,77,216,158
ABC,RE099AAABG,N,3,20,16,1
ABC,RE099AAACH,Y,3,38,42,99
ABC,RE099AAACZ,N,3,13,14,16
ABC,RE099AAADE,N,3,269,231,102
ABC,RE099AAADK,N,3,134,78,146
